KEY,CONTEXT,DUTCH
GAME_TITLE,ui,Nederlandse Politiek Simulatie
MAIN_MENU_NEW_CAMPAIGN,ui,Nieuwe Campagne
MAIN_MENU_LOAD_CAMPAIGN,ui,Campagne Laden
MAIN_MENU_TUTORIAL,ui,Handleiding
MAIN_MENU_SETTINGS,ui,Instellingen
MAIN_MENU_QUIT,ui,Afsluiten
LOADING_GAME,ui,Spel Laden...
SAVING_GAME,ui,Spel Opslaan...
CAMPAIGN_FUNDS,gameplay,Campagne Fondsen
POLL_PERCENTAGE,gameplay,Peiling Percentage
PROJECTED_SEATS,gameplay,Verwachte Zetels
COALITION_BUILDER,ui,Coalitie Vormer
PARLIAMENT_VIEW,ui,Parlement Weergave
MAP_VIEW,ui,Kaart Weergave
DASHBOARD,ui,Dashboard
ELECTION_RESULTS,ui,Verkiezingsuitslagen
MEDIA_EVENT,gameplay,Media Gebeurtenis
RALLY,gameplay,Bijeenkomst
ADVERTISEMENT,gameplay,Advertentie
TV_INTERVIEW,gameplay,TV Interview
RADIO_INTERVIEW,gameplay,Radio Interview
DEBATE,gameplay,Debat
PARTY_LEADER,gameplay,Partijleider
VOTE_FOR,gameplay,Stem Voor
VOTE_AGAINST,gameplay,Stem Tegen
ABSTAIN,gameplay,Onthouding
ACCESSIBILITY_HIGH_CONTRAST,accessibility,Hoog Contrast
ACCESSIBILITY_LARGE_TEXT,accessibility,Grote Tekst
ACCESSIBILITY_SCREEN_READER,accessibility,Schermlezer Ondersteuning
ERROR_SAVE_FAILED,error,Opslaan mislukt
ERROR_LOAD_FAILED,error,Laden mislukt
ERROR_INVALID_ACTION,error,Ongeldige actie
SUCCESS_GAME_SAVED,success,Spel succesvol opgeslagen
SUCCESS_GAME_LOADED,success,Spel succesvol geladen
