KEY,CONTEXT,ENGLISH
GAME_TITLE,ui,Dutch Politics Simulation
MAIN_MENU_NEW_CAMPAIGN,ui,New Campaign
MAIN_MENU_LOAD_CAMPAIGN,ui,Load Campaign
MAIN_MENU_TUTORIAL,ui,Tutorial
MAIN_MENU_SETTINGS,ui,Settings
MAIN_MENU_QUIT,ui,Quit
LOADING_GAME,ui,Loading Game...
SAVING_GAME,ui,Saving Game...
CAMPAIGN_FUNDS,gameplay,Campaign Funds
POLL_PERCENTAGE,gameplay,Poll Percentage
PROJECTED_SEATS,gameplay,Projected Seats
COALITION_BUILDER,ui,Coalition Builder
PARLIAMENT_VIEW,ui,Parliament View
MAP_VIEW,ui,Map View
DASHBOARD,ui,Dashboard
ELECTION_RESULTS,ui,Election Results
MEDIA_EVENT,gameplay,Media Event
RALLY,gameplay,Rally
ADVERTISEMENT,gameplay,Advertisement
TV_INTERVIEW,gameplay,TV Interview
RADIO_INTERVIEW,gameplay,Radio Interview
DEBATE,gameplay,Debate
PARTY_LEADER,gameplay,Party Leader
VOTE_FOR,gameplay,Vote For
VOTE_AGAINST,gameplay,Vote Against
ABSTAIN,gameplay,Abstain
ACCESSIBILITY_HIGH_CONTRAST,accessibility,High Contrast
ACCESSIBILITY_LARGE_TEXT,accessibility,Large Text
ACCESSIBILITY_SCREEN_READER,accessibility,Screen Reader Support
ERROR_SAVE_FAILED,error,Failed to save game
ERROR_LOAD_FAILED,error,Failed to load game
ERROR_INVALID_ACTION,error,Invalid action
SUCCESS_GAME_SAVED,success,Game saved successfully
SUCCESS_GAME_LOADED,success,Game loaded successfully
